diagnostic_code,valid_for_coding,category,sub_category,description,record_creation
E51.9,Y,E00-E90,E50-E64,"Thiamine deficiency, unspecified",2014-11-19 17:21:23.996408
E52.,Y,E00-E90,E50-E64,Niacin deficiency [pellagra],2014-11-19 17:21:23.996408
E53.,N,E00-E90,E50-E64,Deficiency of other B group vitamins,2014-11-19 17:21:23.996408
E53.0,Y,E00-E90,E50-E64,Riboflavin deficiency,2014-11-19 17:21:23.996408
E53.1,Y,E00-E90,E50-E64,Pyridoxine deficiency,2014-11-19 17:21:23.996408
E53.9,Y,E00-E90,E50-E64,"Vitamin B deficiency, unspecified",2014-11-19 17:21:23.996408
E56.,N,E00-E90,E50-E64,Other vitamin deficiencies,2014-11-19 17:21:23.996408
E56.0,Y,E00-E90,E50-E64,Deficiency of vitamin E,2014-11-19 17:21:23.996408
E56.1,Y,E00-E90,E50-E64,Deficiency of vitamin K,2014-11-19 17:21:23.996408
E56.9,Y,E00-E90,E50-E64,"Vitamin deficiency, unspecified",2014-11-19 17:21:23.996408
E58.,Y,E00-E90,E50-E64,Dietary calcium deficiency,2014-11-19 17:21:23.996408
E59.,Y,E00-E90,E50-E64,Dietary selenium deficiency,2014-11-19 17:21:23.996408
E60.,Y,E00-E90,E50-E64,Dietary zinc deficiency,2014-11-19 17:21:23.996408
E61.0,Y,E00-E90,E50-E64,Copper deficiency,2014-11-19 17:21:23.996408
E61.1,Y,E00-E90,E50-E64,Iron deficiency,2014-11-19 17:21:23.996408
E61.2,Y,E00-E90,E50-E64,Magnesium deficiency,2014-11-19 17:21:23.996408
E61.3,Y,E00-E90,E50-E64,Manganese deficiency,2014-11-19 17:21:23.996408
E61.5,Y,E00-E90,E50-E64,Molybdenum deficiency,2014-11-19 17:21:23.996408
E61.6,Y,E00-E90,E50-E64,Vanadium deficiency,2014-11-19 17:21:23.996408
E61.8,Y,E00-E90,E50-E64,Deficiency of other specified nutrient elements,2014-11-19 17:21:23.996408
E61.9,Y,E00-E90,E50-E64,"Deficiency of nutrient element, unspecified",2014-11-19 17:21:23.996408
E63.,N,E00-E90,E50-E64,Other nutritional deficiencies,2014-11-19 17:21:23.996408
E63.0,Y,E00-E90,E50-E64,Essential fatty acid [EFA] deficiency,2014-11-19 17:21:23.996408
E63.8,Y,E00-E90,E50-E64,Other specified nutritional deficiencies,2014-11-19 17:21:23.996408
E63.9,Y,E00-E90,E50-E64,"Nutritional deficiency, unspecified",2014-11-19 17:21:23.996408
E64.,N,E00-E90,E50-E64,Sequelae of malnutrition and other nutritional deficiencies,2014-11-19 17:21:23.996408
E64.0,Y,E00-E90,E50-E64,Sequelae of protein-energy malnutrition,2014-11-19 17:21:23.996408
E64.1,Y,E00-E90,E50-E64,Sequelae of vitamin A deficiency,2014-11-19 17:21:23.996408
E64.3,Y,E00-E90,E50-E64,Sequelae of rickets,2014-11-19 17:21:23.996408
E64.8,Y,E00-E90,E50-E64,Sequelae of other nutritional deficiencies,2014-11-19 17:21:23.996408
E64.9,Y,E00-E90,E50-E64,Sequelae of unspecified nutritional deficiency,2014-11-19 17:21:23.996408
E65.,Y,E00-E90,E65-E68,Localized adiposity,2014-11-19 17:21:23.996408
E66.,N,E00-E90,E65-E68,Obesity,2014-11-19 17:21:23.996408
E66.1,Y,E00-E90,E65-E68,Drug-induced obesity,2014-11-19 17:21:23.996408
E66.2,Y,E00-E90,E65-E68,Extreme obesity with alveolar hypoventilation,2014-11-19 17:21:23.996408
E66.8,Y,E00-E90,E65-E68,Other obesity,2014-11-19 17:21:23.996408
E67.,N,E00-E90,E65-E68,Other hyperalimentation,2014-11-19 17:21:23.996408
E67.0,Y,E00-E90,E65-E68,Hypervitaminosis A,2014-11-19 17:21:23.996408
E67.1,Y,E00-E90,E65-E68,Hypercarotenaemia,2014-11-19 17:21:23.996408
E67.3,Y,E00-E90,E65-E68,Hypervitaminosis D,2014-11-19 17:21:23.996408
E67.8,Y,E00-E90,E65-E68,Other specified hyperalimentation,2014-11-19 17:21:23.996408
E68.,Y,E00-E90,E65-E68,Sequelae of hyperalimentation,2014-11-19 17:21:23.996408
E70.0,Y,E00-E90,E70-E90,Classical phenylketonuria,2014-11-19 17:21:23.996408
E70.1,Y,E00-E90,E70-E90,Other hyperphenylalaninaemias,2014-11-19 17:21:23.996408
E70.2,Y,E00-E90,E70-E90,Disorders of tyrosine metabolism,2014-11-19 17:21:23.996408
E70.3,Y,E00-E90,E70-E90,Albinism,2014-11-19 17:21:23.996408
E70.9,Y,E00-E90,E70-E90,"Disorder of aromatic amino-acid metabolism, unspecified",2014-11-19 17:21:23.996408
E71.,N,E00-E90,E70-E90,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,2014-11-19 17:21:23.996408
E71.0,Y,E00-E90,E70-E90,Maple-syrup-urine disease,2014-11-19 17:21:23.996408
E71.1,Y,E00-E90,E70-E90,Other disorders of branched-chain amino-acid metabolism,2014-11-19 17:21:23.996408
E71.3,Y,E00-E90,E70-E90,Disorders of fatty-acid metabolism,2014-11-19 17:21:23.996408
E72.,N,E00-E90,E70-E90,Other disorders of amino-acid metabolism,2014-11-19 17:21:23.996408
E72.0,Y,E00-E90,E70-E90,Disorders of amino-acid transport,2014-11-19 17:21:23.996408
E72.1,Y,E00-E90,E70-E90,Disorders of sulfur-bearing amino-acid metabolism,2014-11-19 17:21:23.996408
E72.2,Y,E00-E90,E70-E90,Disorders of urea cycle metabolism,2014-11-19 17:21:23.996408
E72.4,Y,E00-E90,E70-E90,Disorders of ornithine metabolism,2014-11-19 17:21:23.996408
E72.5,Y,E00-E90,E70-E90,Disorders of glycine metabolism,2014-11-19 17:21:23.996408
E72.8,Y,E00-E90,E70-E90,Other specified disorders of amino-acid metabolism,2014-11-19 17:21:23.996408
E72.9,Y,E00-E90,E70-E90,"Disorder of amino-acid metabolism, unspecified",2014-11-19 17:21:23.996408
E73.,N,E00-E90,E70-E90,Lactose intolerance,2014-11-19 17:21:23.996408
E73.0,Y,E00-E90,E70-E90,Congenital lactase deficiency,2014-11-19 17:21:23.996408
E73.8,Y,E00-E90,E70-E90,Other lactose intolerance,2014-11-19 17:21:23.996408
E73.9,Y,E00-E90,E70-E90,"Lactose intolerance, unspecified",2014-11-19 17:21:23.996408
E74.,N,E00-E90,E70-E90,Other disorders of carbohydrate metabolism,2014-11-19 17:21:23.996408
E74.0,Y,E00-E90,E70-E90,Glycogen storage disease,2014-11-19 17:21:23.996408
E74.2,Y,E00-E90,E70-E90,Disorders of galactose metabolism,2014-11-19 17:21:23.996408
E74.3,Y,E00-E90,E70-E90,Other disorders of intestinal carbohydrate absorption,2014-11-19 17:21:23.996408
E74.4,Y,E00-E90,E70-E90,Disorders of pyruvate metabolism and gluconeogenesis,2014-11-19 17:21:23.996408
E74.9,Y,E00-E90,E70-E90,"Disorder of carbohydrate metabolism, unspecified",2014-11-19 17:21:23.996408
E75.,N,E00-E90,E70-E90,Disorders of sphingolipid metabolism and other lipid storage disorders,2014-11-19 17:21:23.996408
E75.0,Y,E00-E90,E70-E90,GM2 gangliosidosis,2014-11-19 17:21:23.996408
E75.1,Y,E00-E90,E70-E90,Other gangliosidosis,2014-11-19 17:21:23.996408
E75.2,Y,E00-E90,E70-E90,Other sphingolipidosis,2014-11-19 17:21:23.996408
E75.3,Y,E00-E90,E70-E90,"Sphingolipidosis, unspecified",2014-11-19 17:21:23.996408
E75.5,Y,E00-E90,E70-E90,Other lipid storage disorders,2014-11-19 17:21:23.996408
E75.6,Y,E00-E90,E70-E90,"Lipid storage disorder, unspecified",2014-11-19 17:21:23.996408
E76.,N,E00-E90,E70-E90,Disorders of glycosaminoglycan metabolism,2014-11-19 17:21:23.996408
E76.1,Y,E00-E90,E70-E90,"Mucopolysaccharidosis, type II",2014-11-19 17:21:23.996408
E76.2,Y,E00-E90,E70-E90,Other mucopolysaccharidoses,2014-11-19 17:21:23.996408
E76.3,Y,E00-E90,E70-E90,"Mucopolysaccharidosis, unspecified",2014-11-19 17:21:23.996408
E76.9,Y,E00-E90,E70-E90,"Disorder of glucosaminoglycan metabolism, unspecified",2014-11-19 17:21:23.996408
E77.,N,E00-E90,E70-E90,Disorders of glycoprotein metabolism,2014-11-19 17:21:23.996408
E77.0,Y,E00-E90,E70-E90,Defects in post-translational modification of lysosomal enzymes,2014-11-19 17:21:23.996408
E77.1,Y,E00-E90,E70-E90,Defects in glycoprotein degradation,2014-11-19 17:21:23.996408
E77.8,Y,E00-E90,E70-E90,Other disorders of glycoprotein metabolism,2014-11-19 17:21:23.996408
E78.0,Y,E00-E90,E70-E90,Pure hypercholesterolaemia,2014-11-19 17:21:23.996408
E78.1,Y,E00-E90,E70-E90,Pure hyperglyceridaemia,2014-11-19 17:21:23.996408
E78.2,Y,E00-E90,E70-E90,Mixed hyperlipidaemia,2014-11-19 17:21:23.996408
E78.3,Y,E00-E90,E70-E90,Hyperchylomicronaemia,2014-11-19 17:21:23.996408
E78.4,Y,E00-E90,E70-E90,Other hyperlipidaemia,2014-11-19 17:21:23.996408
E78.5,Y,E00-E90,E70-E90,"Hyperlipidaemia, unspecified",2014-11-19 17:21:23.996408
E78.8,Y,E00-E90,E70-E90,Other disorders of lipoprotein metabolism,2014-11-19 17:21:23.996408
E78.9,Y,E00-E90,E70-E90,"Disorder of lipoprotein metabolism, unspecified",2014-11-19 17:21:23.996408
E79.0,Y,E00-E90,E70-E90,Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease,2014-11-19 17:21:23.996408
E79.1,Y,E00-E90,E70-E90,Lesch-Nyhan syndrome,2014-11-19 17:21:23.996408
E79.8,Y,E00-E90,E70-E90,Other disorders of purine and pyrimidine metabolism,2014-11-19 17:21:23.996408
E79.9,Y,E00-E90,E70-E90,"Disorder of purine and pyrimidine metabolism, unspecified",2014-11-19 17:21:23.996408
E80.,N,E00-E90,E70-E90,Disorders of porphyrin and bilirubin metabolism,2014-11-19 17:21:23.996408
E80.1,Y,E00-E90,E70-E90,Porphyria cutanea tarda,2014-11-19 17:21:23.996408
E80.2,Y,E00-E90,E70-E90,Other porphyria,2014-11-19 17:21:23.996408
E80.3,Y,E00-E90,E70-E90,Defects of catalase and peroxidase,2014-11-19 17:21:23.996408
E80.4,Y,E00-E90,E70-E90,Gilbert syndrome,2014-11-19 17:21:23.996408
E80.5,Y,E00-E90,E70-E90,Crigler-Najjar syndrome,2014-11-19 17:21:23.996408
E80.7,Y,E00-E90,E70-E90,"Disorder of bilirubin metabolism, unspecified",2014-11-19 17:21:23.996408
E83.,N,E00-E90,E70-E90,Disorders of mineral metabolism,2014-11-19 17:21:23.996408
E83.0,Y,E00-E90,E70-E90,Disorders of copper metabolism,2014-11-19 17:21:23.996408
E83.1,Y,E00-E90,E70-E90,Disorders of iron metabolism,2014-11-19 17:21:23.996408
E83.3,Y,E00-E90,E70-E90,Disorders of phosphorus metabolism and phosphatases,2014-11-19 17:21:23.996408
E83.4,Y,E00-E90,E70-E90,Disorders of magnesium metabolism,2014-11-19 17:21:23.996408
E83.5,Y,E00-E90,E70-E90,Disorders of calcium metabolism,2014-11-19 17:21:23.996408
E83.9,Y,E00-E90,E70-E90,"Disorder of mineral metabolism, unspecified",2014-11-19 17:21:23.996408
E84.,N,E00-E90,E70-E90,Cystic fibrosis,2014-11-19 17:21:23.996408
E84.0,Y,E00-E90,E70-E90,Cystic fibrosis with pulmonary manifestations,2014-11-19 17:21:23.996408
E84.8,Y,E00-E90,E70-E90,Cystic fibrosis with other manifestations,2014-11-19 17:21:23.996408
E84.9,Y,E00-E90,E70-E90,"Cystic fibrosis, unspecified",2014-11-19 17:21:23.996408
E85.,N,E00-E90,E70-E90,Amyloidosis,2014-11-19 17:21:23.996408
E85.0,Y,E00-E90,E70-E90,Non-neuropathic heredofamilial amyloidosis,2014-11-19 17:21:23.996408
E85.1,Y,E00-E90,E70-E90,Neuropathic heredofamilial amyloidosis,2014-11-19 17:21:23.996408
E85.3,Y,E00-E90,E70-E90,Secondary systemic amyloidosis,2014-11-19 17:21:23.996408
E85.4,Y,E00-E90,E70-E90,Organ-limited amyloidosis,2014-11-19 17:21:23.996408
E85.8,Y,E00-E90,E70-E90,Other amyloidosis,2014-11-19 17:21:23.996408
E85.9,Y,E00-E90,E70-E90,"Amyloidosis, unspecified",2014-11-19 17:21:23.996408
E86.,Y,E00-E90,E70-E90,Volume depletion,2014-11-19 17:21:23.996408
E87.0,Y,E00-E90,E70-E90,Hyperosmolality and hypernatraemia,2014-11-19 17:21:23.996408
E87.1,Y,E00-E90,E70-E90,Hypo-osmolality and hyponatraemia,2014-11-19 17:21:23.996408
E87.2,Y,E00-E90,E70-E90,Acidosis,2014-11-19 17:21:23.996408
E87.3,Y,E00-E90,E70-E90,Alkalosis,2014-11-19 17:21:23.996408
E87.5,Y,E00-E90,E70-E90,Hyperkalaemia,2014-11-19 17:21:23.996408
E87.6,Y,E00-E90,E70-E90,Hypokalaemia,2014-11-19 17:21:23.996408
E87.7,Y,E00-E90,E70-E90,Fluid overload,2014-11-19 17:21:23.996408
E88.,N,E00-E90,E70-E90,Other metabolic disorders,2014-11-19 17:21:23.996408
E88.0,Y,E00-E90,E70-E90,"Disorders of plasma-protein metabolism, not elsewhere classified",2014-11-19 17:21:23.996408
E88.1,Y,E00-E90,E70-E90,"Lipodystrophy, not elsewhere classified",2014-11-19 17:21:23.996408
E88.2,Y,E00-E90,E70-E90,"Lipomatosis, not elsewhere classified",2014-11-19 17:21:23.996408
E88.3,Y,E00-E90,E70-E90,Tumour lysis syndrome,2014-11-19 17:21:23.996408
E88.8,Y,E00-E90,E70-E90,Other specified metabolic disorders,2014-11-19 17:21:23.996408
E88.9,Y,E00-E90,E70-E90,"Metabolic disorder, unspecified",2014-11-19 17:21:23.996408
E89.0,Y,E00-E90,E70-E90,Postprocedural hypothyroidism,2014-11-19 17:21:23.996408
E89.1,Y,E00-E90,E70-E90,Postprocedural hypoinsulinaemia,2014-11-19 17:21:23.996408
E89.2,Y,E00-E90,E70-E90,Postprocedural hypoparathyroidism,2014-11-19 17:21:23.996408
E89.3,Y,E00-E90,E70-E90,Postprocedural hypopituitarism,2014-11-19 17:21:23.996408
E89.4,Y,E00-E90,E70-E90,Postprocedural ovarian failure,2014-11-19 17:21:23.996408
E89.5,Y,E00-E90,E70-E90,Postprocedural testicular hypofunction,2014-11-19 17:21:23.996408
E89.8,Y,E00-E90,E70-E90,Other postprocedural endocrine and metabolic disorders,2014-11-19 17:21:23.996408
E89.9,Y,E00-E90,E70-E90,"Postprocedural endocrine and metabolic disorder, unspecified",2014-11-19 17:21:23.996408
E90,Y,E00-E90,E70-E90,Nutritional and metabolic disorders in diseases classified elsewhere,2014-11-19 17:21:23.996408
F00.,N,F00-F98,F00-F09,Dementia in Alzheimer disease,2014-11-19 17:21:23.996408
F00.0,Y,F00-F98,F00-F09,Dementia in Alzheimer disease with early onset,2014-11-19 17:21:23.996408
F00.2,Y,F00-F98,F00-F09,"Dementia in Alzheimer disease, atypical or mixed type",2014-11-19 17:21:23.996408
F00.9,Y,F00-F98,F00-F09,"Dementia in Alzheimer disease, unspecified",2014-11-19 17:21:23.996408
F01.,N,F00-F98,F00-F09,Vascular dementia,2014-11-19 17:21:23.996408
F01.0,Y,F00-F98,F00-F09,Vascular dementia of acute onset,2014-11-19 17:21:23.996408
F01.1,Y,F00-F98,F00-F09,Multi-infarct dementia,2014-11-19 17:21:23.996408
F01.3,Y,F00-F98,F00-F09,Mixed cortical and subcortical vascular dementia,2014-11-19 17:21:23.996408
F01.8,Y,F00-F98,F00-F09,Other vascular dementia,2014-11-19 17:21:23.996408
F01.9,Y,F00-F98,F00-F09,"Vascular dementia, unspecified",2014-11-19 17:21:23.996408
F02.0,Y,F00-F98,F00-F09,Dementia in Pick disease,2014-11-19 17:21:23.996408
F02.1,Y,F00-F98,F00-F09,Dementia in Creutzfeldt-Jakob disease,2014-11-19 17:21:23.996408
F02.2,Y,F00-F98,F00-F09,Dementia in Huntington disease,2014-11-19 17:21:23.996408
F02.3,Y,F00-F98,F00-F09,Dementia in Parkinson disease,2014-11-19 17:21:23.996408
F02.8,Y,F00-F98,F00-F09,Dementia in other specified diseases classified elsewhere,2014-11-19 17:21:23.996408
F03.,Y,F00-F98,F00-F09,Unspecified dementia,2014-11-19 17:21:23.996408
F04.,Y,F00-F98,F00-F09,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",2014-11-19 17:21:23.996408
F84.5,Y,F00-F98,F80-F89,Asperger syndrome,2014-11-19 17:21:23.996408
F05.0,Y,F00-F98,F00-F09,"Delirium not superimposed on dementia, so described",2014-11-19 17:21:23.996408
F05.1,Y,F00-F98,F00-F09,Delirium superimposed on dementia,2014-11-19 17:21:23.996408
F05.8,Y,F00-F98,F00-F09,Other delirium,2014-11-19 17:21:23.996408
F06.0,Y,F00-F98,F00-F09,Organic hallucinosis,2014-11-19 17:21:23.996408
F06.1,Y,F00-F98,F00-F09,Organic catatonic disorder,2014-11-19 17:21:23.996408
F06.2,Y,F00-F98,F00-F09,Organic delusional [schizophrenia-like] disorder,2014-11-19 17:21:23.996408
F06.3,Y,F00-F98,F00-F09,Organic mood [affective] disorders,2014-11-19 17:21:23.996408
F06.4,Y,F00-F98,F00-F09,Organic anxiety disorder,2014-11-19 17:21:23.996408
F06.5,Y,F00-F98,F00-F09,Organic dissociative disorder,2014-11-19 17:21:23.996408
F06.6,Y,F00-F98,F00-F09,Organic emotionally labile [asthenic] disorder,2014-11-19 17:21:23.996408
F06.7,Y,F00-F98,F00-F09,Mild cognitive disorder,2014-11-19 17:21:23.996408
F06.9,Y,F00-F98,F00-F09,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,2014-11-19 17:21:23.996408
F07.,N,F00-F98,F00-F09,"Personality and behavioural disorders due to brain disease, damage and dysfunction",2014-11-19 17:21:23.996408
F07.0,Y,F00-F98,F00-F09,Organic personality disorder,2014-11-19 17:21:23.996408
F07.1,Y,F00-F98,F00-F09,Postencephalitic syndrome,2014-11-19 17:21:23.996408
F07.2,Y,F00-F98,F00-F09,Postconcussional syndrome,2014-11-19 17:21:23.996408
F07.9,Y,F00-F98,F00-F09,"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction",2014-11-19 17:21:23.996408
F09.,Y,F00-F98,F00-F09,Unspecified organic or symptomatic mental disorder,2014-11-19 17:21:23.996408
F10.,N,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol,2014-11-19 17:21:23.996408
F10.0,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Acute intoxication,2014-11-19 17:21:23.996408
F10.1,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Harmful use,2014-11-19 17:21:23.996408
F10.2,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Dependence syndrome,2014-11-19 17:21:23.996408
F10.3,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Withdrawal state,2014-11-19 17:21:23.996408
F10.5,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Psychotic disorder,2014-11-19 17:21:23.996408
F10.6,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Amnesic syndrome,2014-11-19 17:21:23.996408
F10.7,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Residual and late-onset psychotic disorder,2014-11-19 17:21:23.996408
F10.8,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Other mental and behavioural disorders,2014-11-19 17:21:23.996408
F10.9,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of alcohol: Unspecified mental and behavioural disorder,2014-11-19 17:21:23.996408
F11.,N,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids,2014-11-19 17:21:23.996408
F11.0,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids: Acute intoxication,2014-11-19 17:21:23.996408
F11.2,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids: Dependence syndrome,2014-11-19 17:21:23.996408
F11.3,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids: Withdrawal state,2014-11-19 17:21:23.996408
F11.4,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids: Withdrawal state with delirium,2014-11-19 17:21:23.996408
F11.5,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids: Psychotic disorder,2014-11-19 17:21:23.996408
F11.6,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids: Amnesic syndrome,2014-11-19 17:21:23.996408
F11.8,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids: Other mental and behavioural disorders,2014-11-19 17:21:23.996408
F11.9,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of opioids: Unspecified mental and behavioural disorder,2014-11-19 17:21:23.996408
F12.,N,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids,2014-11-19 17:21:23.996408
F12.0,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Acute intoxication,2014-11-19 17:21:23.996408
F12.1,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Harmful use,2014-11-19 17:21:23.996408
F12.2,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Dependence syndrome,2014-11-19 17:21:23.996408
F12.3,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Withdrawal state,2014-11-19 17:21:23.996408
F12.5,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Psychotic disorder,2014-11-19 17:21:23.996408
F12.6,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Amnesic syndrome,2014-11-19 17:21:23.996408
F12.7,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Residual and late-onset psychotic disorder,2014-11-19 17:21:23.996408
F12.8,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Other mental and behavioural disorders,2014-11-19 17:21:23.996408
F12.9,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of cannabinoids: Unspecified mental and behavioural disorder,2014-11-19 17:21:23.996408
F13.,N,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics,2014-11-19 17:21:23.996408
F13.0,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics: Acute intoxication,2014-11-19 17:21:23.996408
F13.2,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics: Dependence syndrome,2014-11-19 17:21:23.996408
F13.3,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics: Withdrawal state,2014-11-19 17:21:23.996408
F13.4,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics: Withdrawal state with delirium,2014-11-19 17:21:23.996408
F13.5,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics: Psychotic disorder,2014-11-19 17:21:23.996408
F13.6,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics: Amnesic syndrome,2014-11-19 17:21:23.996408
F13.8,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics: Other mental and behavioural disorders,2014-11-19 17:21:23.996408
F13.9,Y,F00-F98,F10-F19,Mental and behavioural disorders due to use of sedatives or hypnotics: Unspecified mental and behavioural disorder,2014-11-19 17:21:23.996408
F14.,N,F00-F98,F10-F19,Mental and behavioural disorders due to use of cocaine,2014-11-19 17:21:23.996408
